X_Coordinate,Y_Coordinate,Signal_Strength,Zone,Floor,Student_Density
24.22480327578811,72.32106836294075,-45.7138836050843,Library,1st,39
73.87269013508691,58.59907456022538,-61.04145675853343,Hostel,1st,66
79.59988122176141,5.275386051511144,-81.78712564818197,Main Block,2nd,33
22.68559404020771,41.08056529129499,-65.29935361960291,Main Block,Ground,146
50.91344297174237,72.03660479225076,-48.11600359943058,Computer Labs,Ground,6
16.387261977898028,38.28472032903273,-81.59475783995931,Canteen,Ground,85
84.48073092782252,33.441081825582366,-30.476747373592453,Canteen,2nd,115
85.97984928961533,0.2962023154240878,-60.91860845358225,Hostel,1st,113
85.0912511616907,89.4142919317746,-59.45105900471844,Canteen,1st,79
99.37468079910056,63.955560979367995,-31.26943806628671,Main Block,2nd,137
72.85864932833769,72.06586424587962,-84.25159838587861,Hostel,3rd,117
77.31115226111869,69.87985114020637,-56.80276411262163,Hostel,1st,30
4.207687927909443,17.293994510133803,-77.33286945470806,Library,3rd,120
53.07658295052779,8.745984267389218,-74.42552735494885,Computer Labs,2nd,36
94.89525527394,13.29384609810662,-43.44235132455874,Hostel,1st,81
26.554933402323687,63.03483513162567,-44.27540444632553,Canteen,Ground,15
97.11441351781936,9.246413132776588,-83.16433068856091,Computer Labs,Ground,19
87.02029836025483,86.5643187297839,-66.50207129947422,Computer Labs,1st,118
60.07010880343419,46.95372110711952,-36.773088609669145,Canteen,1st,116
83.6174519371167,28.02949836792996,-83.61838582133618,Canteen,Ground,77
94.7593559640533,24.67761736191536,-62.71222068136571,Hostel,3rd,115
30.708369163337846,67.83641709222704,-75.04127220626282,Main Block,2nd,39
9.753967086338754,70.83595694890022,-44.58077304331433,Library,1st,14
45.68253687413111,58.167642783494564,-43.88953931272758,Hostel,Ground,68
11.642308094720766,11.780241914633738,-63.5151135432664,Main Block,2nd,64
68.31870863231204,15.990396257869898,-66.47185998330353,Hostel,3rd,127
56.45988018077684,67.85176674551433,-34.162363896622594,Canteen,Ground,42
64.01169887577906,10.158211110903292,-39.31287403077841,Hostel,3rd,6
7.248980109097635,73.36977510630001,-83.2798866684227,Computer Labs,3rd,25
29.002484170272325,64.0662436299293,-49.278063545683615,Main Block,2nd,25
14.599145699482797,3.798082505968725,-32.16911590808708,Computer Labs,Ground,61
8.583868492243319,91.71834034081854,-60.96053952489321,Hostel,Ground,42
88.93706256119901,42.5808446339878,-55.630780048643096,Main Block,Ground,126
75.78741542489061,98.06893492431819,-37.855815868859196,Hostel,3rd,44
19.768029710169266,88.30512583141251,-32.27755373827377,Main Block,Ground,149
61.85643041773893,76.39975174882582,-58.10632802277576,Hostel,3rd,143
94.49313713362638,17.88763457922331,-31.561872868648507,Library,Ground,7
38.23896931268672,65.3448970679986,-74.17955632503306,Computer Labs,Ground,98
28.176106140666068,25.995183201611805,-71.42445485585549,Computer Labs,Ground,117
48.87686186250445,52.469261303882874,-86.22499608933778,Canteen,3rd,51
14.777096591783067,18.970696347675464,-60.240321601574195,Hostel,3rd,30
